amount,term,month,age,bad,month_le,education_Bachelor,education_High School or Below,education_Master or Above,education_college,gender_female,gender_male
1000,30,June,45,0,6,0,1,0,0,0,1
1000,30,July,50,0,5,1,0,0,0,1,0
1000,30,August,33,0,1,1,0,0,0,1,0
1000,15,September,27,0,11,0,0,0,1,0,1
1000,30,October,28,0,10,0,0,0,1,1,0
300,7,July,35,0,5,0,0,1,0,0,1
1000,30,September,29,0,11,0,0,0,1,0,1
1000,30,May,36,0,8,0,0,0,1,0,1
1000,30,May,28,0,8,0,0,0,1,0,1
800,15,April,26,0,0,0,0,0,1,0,1
300,7,April,29,0,0,0,0,0,1,0,1
1000,15,September,39,0,11,0,1,0,0,0,1
1000,30,December,26,0,2,0,0,0,1,0,1
900,7,May,26,0,8,0,0,0,1,1,0
1000,7,May,27,0,8,0,1,0,0,0,1
800,15,July,26,0,5,0,0,0,1,0,1
1000,30,July,40,0,5,0,1,0,0,0,1
1000,15,January,32,0,4,0,1,0,0,0,1
1000,30,August,32,0,1,0,1,0,0,0,1
800,30,April,26,0,0,0,0,0,1,0,1
1000,30,July,26,0,5,0,0,0,1,0,1
1000,30,May,43,0,8,0,1,0,0,1,0
1000,30,October,25,0,10,0,1,0,0,0,1
1000,15,August,26,0,1,0,0,0,1,0,1
1000,30,March,26,0,7,0,0,0,1,0,1
1000,30,August,29,0,1,0,1,0,0,0,1
800,15,April,39,0,0,1,0,0,0,0,1
1000,15,June,34,0,6,1,0,0,0,0,1
1000,30,June,31,0,6,0,0,0,1,0,1
1000,30,November,33,0,9,0,0,0,1,0,1
800,15,February,33,0,3,0,1,0,0,0,1
1000,30,March,37,0,7,0,0,0,1,0,1
1000,30,May,27,0,8,0,0,0,1,0,1
1000,30,October,37,0,10,0,0,0,1,0,1
800,15,January,33,0,4,0,0,0,1,0,1
800,15,January,29,0,4,1,0,0,0,0,1
1000,30,July,27,0,5,0,1,0,0,0,1
700,15,September,33,0,11,0,1,0,0,0,1
1000,15,May,24,0,8,0,0,0,1,0,1
1000,30,February,21,0,3,1,0,0,0,0,1
1000,15,September,32,0,11,0,0,0,1,1,0
800,15,February,30,0,3,0,0,0,1,0,1
1000,7,January,31,0,4,1,0,0,0,0,1
1000,15,October,30,0,10,0,0,0,1,0,1
1000,15,July,24,0,5,1,0,0,0,1,0
800,7,July,35,0,5,0,1,0,0,0,1
1000,30,July,22,0,5,0,1,0,0,0,1
1000,30,July,32,0,5,0,0,0,1,0,1
1000,30,September,32,0,11,1,0,0,0,0,1
800,15,February,50,0,3,0,1,0,0,0,1
800,15,December,27,0,2,0,0,0,1,1,0
1000,30,July,35,0,5,1,0,0,0,1,0
800,15,November,35,0,9,1,0,0,0,1,0
1000,30,January,34,0,4,0,1,0,0,0,1
1000,30,October,21,0,10,0,1,0,0,0,1
1000,15,July,25,0,5,0,0,0,1,0,1
1000,30,May,27,0,8,0,1,0,0,0,1
1000,30,May,26,0,8,1,0,0,0,0,1
800,15,December,44,0,2,0,1,0,0,1,0
800,15,January,39,0,4,0,0,1,0,0,1
1000,30,December,34,0,2,1,0,0,0,0,1
1000,15,September,37,0,11,0,0,0,1,0,1
1000,30,January,34,0,4,0,1,0,0,0,1
1000,30,April,45,0,0,0,0,0,1,0,1
800,15,March,24,0,7,0,1,0,0,0,1
900,15,February,28,0,3,0,0,0,1,0,1
1000,30,July,28,0,5,1,0,0,0,0,1
1000,30,September,37,0,11,0,1,0,0,0,1
300,7,December,35,0,2,0,0,0,1,0,1
1000,30,November,43,0,9,1,0,0,0,0,1
800,15,April,29,0,0,0,0,0,1,0,1
800,15,July,29,0,5,0,1,0,0,0,1
1000,30,August,33,0,1,1,0,0,0,1,0
1000,15,April,34,0,0,0,0,0,1,0,1
1000,15,July,25,0,5,0,0,0,1,0,1
1000,30,April,30,0,0,0,1,0,0,0,1
1000,30,February,31,0,3,1,0,0,0,0,1
1000,30,December,35,0,2,0,0,0,1,0,1
1000,30,November,37,0,9,0,0,0,1,1,0
1000,30,June,44,0,6,0,1,0,0,1,0
1000,30,July,28,0,5,0,1,0,0,0,1
1000,7,September,25,0,11,0,0,0,1,0,1
1000,15,November,29,0,9,0,0,0,1,0,1
800,15,November,33,0,9,0,0,0,1,0,1
1000,30,April,37,0,0,0,1,0,0,1,0
1000,30,February,33,0,3,0,0,0,1,0,1
1000,30,November,24,0,9,0,1,0,0,1,0
1000,30,May,27,0,8,0,0,0,1,1,0
800,15,May,43,0,8,1,0,0,0,0,1
800,15,August,46,0,1,0,1,0,0,1,0
800,15,December,34,0,2,0,0,0,1,1,0
1000,7,August,32,0,1,1,0,0,0,1,0
800,15,March,38,0,7,0,1,0,0,0,1
800,15,December,27,0,2,0,1,0,0,0,1
1000,30,December,33,0,2,0,1,0,0,0,1
1000,30,July,36,0,5,0,0,0,1,0,1
1000,15,November,26,0,9,0,1,0,0,0,1
1000,30,February,34,0,3,0,0,0,1,0,1
1000,30,January,22,0,4,0,1,0,0,0,1
1000,30,June,31,0,6,1,0,0,0,1,0
1000,7,June,29,0,6,0,1,0,0,0,1
800,15,November,38,0,9,0,0,0,1,0,1
1000,30,August,30,0,1,0,0,0,1,0,1
1000,15,October,45,0,10,0,1,0,0,0,1
1000,15,February,35,0,3,0,0,0,1,0,1
1000,30,June,30,0,6,0,0,0,1,0,1
1000,30,September,31,0,11,0,1,0,0,0,1
1000,30,September,31,0,11,0,1,0,0,0,1
1000,30,July,28,0,5,0,0,0,1,0,1
1000,7,July,29,0,5,0,0,0,1,0,1
800,15,August,29,0,1,0,0,0,1,0,1
1000,30,January,27,0,4,0,0,0,1,1,0
1000,30,May,27,0,8,0,0,0,1,0,1
1000,30,August,33,0,1,0,0,0,1,0,1
1000,30,November,28,0,9,0,0,0,1,0,1
1000,15,July,25,0,5,0,1,0,0,0,1
1000,30,March,40,0,7,0,0,0,1,0,1
1000,30,October,23,0,10,0,1,0,0,0,1
1000,30,May,35,0,8,1,0,0,0,0,1
800,15,June,24,0,6,0,0,0,1,0,1
1000,30,April,34,0,0,0,0,0,1,0,1
1000,30,January,22,0,4,0,1,0,0,0,1
1000,15,June,20,0,6,0,0,0,1,0,1
1000,15,November,23,0,9,0,0,0,1,0,1
1000,30,July,33,0,5,0,0,0,1,0,1
1000,30,August,26,0,1,0,0,0,1,0,1
1000,15,March,28,0,7,0,1,0,0,0,1
800,15,October,43,0,10,0,1,0,0,0,1
1000,15,October,34,0,10,1,0,0,0,0,1
1000,30,June,38,0,6,1,0,0,0,0,1
1000,15,June,26,0,6,0,1,0,0,0,1
800,15,January,43,0,4,0,1,0,0,0,1
1000,30,September,26,0,11,0,1,0,0,0,1
1000,30,May,33,0,8,0,0,0,1,1,0
800,15,January,24,0,4,0,0,0,1,0,1
1000,30,July,30,0,5,0,1,0,0,0,1
800,15,November,32,0,9,0,1,0,0,1,0
1000,15,November,22,0,9,0,0,0,1,0,1
